link,code,Precio,Baños,Área,Habitaciones,Garajes,Closets,Municipio,Barrio,Extraction Date
https://www.lalonjapropiedadraiz.com/inmueble/4415/Venta/,4415,"$160,000,000",1,65m,3,0,1,Bello,Villas Del Sol,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/9634/Venta/,9634,"$265,000,000",3,120m,4,0,3,Bello,Prado,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/10571/Venta/,10571,"$280,000,000",2,67m,4,0,0,Bello,Niquia,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/10608/Venta/,10608,"$290,000,000",1,62m,3,0,3,Bello,Trapiche,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/9973/Venta/,9973,"$300,000,000",2,110m,4,0,2,Bello,Salento Dos,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/9562/Venta/,9562,"$315,000,000",2,99m,3,1,1,Medellín,Manrique,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/9817/Venta/,9817,"$335,000,000",2,108m,5,0,1,Bello,Santa Ana,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/10241/Venta/,10241,"$350,000,000",1,240m,4,0,0,Medellín,Manrique,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/9437/Venta/,9437,"$430,000,000",2,138m,4,0,4,Bello,Cabañas,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/9190/Venta/,9190,"$450,000,000",1,160m,4,0,3,Medellín,Belen,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/9413/Venta/,9413,"$570,000,000",2,139m,5,1,4,Medellín,Laureles,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/9400/Venta/,9400,"$840,000,000",4,210m,3,1,0,Medellín,Calasanz,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/9636/Venta/,9636,"$900,000,000",3,308m,5,1,3,Medellín,Prado Centro,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/10197/Venta/,10197,"$1,050,000,000",3,140m,3,4,3,Bello,Navarra,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/9309/Venta/,9309,"$1,300,000,000",7,611m,6,2,6,Medellín,Prado Centro,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/10403/Venta/,10403,"$1,400,000,000",4,2800m,3,0,3,La Estrella,La Tablaza,2025-06-29
https://www.lalonjapropiedadraiz.com/inmueble/10164/Venta/,10164,"$2,700,000,000",5,351m,7,1,7,Medellín,Laureles,2025-06-29
