propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum,Extraction Date
15594-M6926443,"{'id': '2', 'nombre': 'Casa'}",1900000000,1100,1100,4,5,4,"{'id': '4483', 'nombre': 'Sabaneta'}",,VEREDA LAS LOMITAS,Mirador De San Judas,500000,Entrega inmobiliaria,Usado,"{'lon': -75.605385, 'lat': 6.144597}",https://www.metrocuadrado.com/inmueble/venta-casa-sabaneta-vereda-las-lomitas-4-habitaciones-5-banos-4-garajes/15594-M6926443,Entre 10 y 20 años,5,2026-09-03
21417-M6979605,"{'id': '2', 'nombre': 'Casa'}",1990000000,254,254,2,3,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,LA FLORIDA,Colombia / Antioquia / Sabaneta,478000,Ku0026#39;STAINMOBILIARIA  S.A.S,Usado,"{'lon': -75.60709, 'lat': 6.1551867}",https://www.metrocuadrado.com/inmueble/venta-casa-sabaneta-la-florida-2-habitaciones-3-banos-1-garajes/21417-M6979605,Entre 10 y 20 años,4,2026-09-03
21417-M7001394,"{'id': '2', 'nombre': 'Casa'}",1200000000,166,166,5,4,1,"{'id': '4483', 'nombre': 'Sabaneta'}",,VEREDA LA DOCTORA,Colombia / Antioquia / Sabaneta,740000,Ku0026#39;STAINMOBILIARIA  S.A.S,Usado,"{'lon': -75.61105, 'lat': 6.145011}",https://www.metrocuadrado.com/inmueble/venta-casa-sabaneta-vereda-la-doctora-5-habitaciones-4-banos-1-garajes/21417-M7001394,Más de 20 años,4,2026-09-03
