link,code,Precio,Baños,Área,Habitaciones,Garajes,Closets,Municipio,Barrio,Extraction Date
https://www.lalonjapropiedadraiz.com/inmueble/4415/Venta/,4415,"$160,000,000",1,65m,3,0,1,Bello,Villas Del Sol,2025-09-29
https://www.lalonjapropiedadraiz.com/inmueble/9634/Venta/,9634,"$265,000,000",3,120m,4,0,3,Bello,Prado,2025-09-29
https://www.lalonjapropiedadraiz.com/inmueble/10608/Venta/,10608,"$290,000,000",1,62m,3,0,3,Bello,Trapiche,2025-09-29
https://www.lalonjapropiedadraiz.com/inmueble/9562/Venta/,9562,"$315,000,000",2,99m,3,1,1,Medellín,Manrique,2025-09-29
https://www.lalonjapropiedadraiz.com/inmueble/9973/Venta/,9973,"$330,000,000",2,110m,4,0,2,Bello,Salento Dos,2025-09-29
https://www.lalonjapropiedadraiz.com/inmueble/9817/Venta/,9817,"$335,000,000",2,108m,5,0,1,Bello,Santa Ana,2025-09-29
https://www.lalonjapropiedadraiz.com/inmueble/10244/Venta/,10244,"$350,000,000",3,96m,4,1,5,Bello,Serramonte,2025-09-29
https://www.lalonjapropiedadraiz.com/inmueble/9437/Venta/,9437,"$430,000,000",2,138m,4,0,4,Bello,Cabañas,2025-09-29
https://www.lalonjapropiedadraiz.com/inmueble/9636/Venta/,9636,"$900,000,000",3,308m,5,1,3,Medellín,Prado Centro,2025-09-29
https://www.lalonjapropiedadraiz.com/inmueble/9309/Venta/,9309,"$1,300,000,000",7,611m,6,2,6,Medellín,Prado Centro,2025-09-29
