link,code,Precio,Baños,Área,Habitaciones,Garajes,Closets,Municipio,Barrio,Extraction Date
https://www.lalonjapropiedadraiz.com/inmueble/7133/Venta/,7133,"$170,000,000",1,57m,2,0,2,Bello,Machado,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/6692/Venta/,6692,"$175,000,000",1,64m,3,0,2,Bello,Rosario,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10124/Venta/,10124,"$187,000,000",1,56m,3,0,2,Bello,Gran Avenida,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/9899/Venta/,9899,"$189,000,000",1,46m,2,1,2,Bello,Cabañas,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10334/Venta/,10334,"$210,000,000",1,53m,2,0,1,Bello,Niquia,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10058/Venta/,10058,"$229,000,000",2,51m,2,1,2,Copacabana,Machado,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10293/Venta/,10293,"$230,000,000",2,61m,3,1,3,Bello,Trapiche,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10565/Venta/,10565,"$230,000,000",2,54m,2,0,2,Bello,Mirador,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/9688/Venta/,9688,"$240,000,000",2,68m,3,0,1,Bello,Manchester,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/9484/Venta/,9484,"$250,000,000",2,64m,3,1,3,Bello,Machado,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/9927/Venta/,9927,"$250,000,000",2,62m,3,1,0,Bello,Trapiche,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10534/Venta/,10534,"$255,000,000",2,52m,2,0,2,Sabaneta,Pan De Azucar,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10535/Venta/,10535,"$255,000,000",2,52m,2,0,2,Sabaneta,Pan De Azucar,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/6835/Venta/,6835,"$255,000,000",2,62m,3,1,3,Bello,Niquia,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/9678/Venta/,9678,"$280,000,000",1,85m,3,0,2,Medellín,Bombona,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/6370/Venta/,6370,"$290,000,000",2,63m,3,1,3,Bello,Navarra,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/9749/Venta/,9749,"$290,000,000",2,77m,2,0,2,Medellín,La America,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/7522/Venta/,7522,"$300,000,000",2,98m,4,1,4,Bello,Cabañas,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10226/Venta/,10226,"$300,000,000",1,55m,3,0,3,Medellín,Boston,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/9632/Venta/,9632,"$305,000,000",2,102m,4,1,2,Bello,Gran Avenida,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10229/Venta/,10229,"$310,000,000",2,51m,2,0,2,Sabaneta,Calle Larga,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/8787/Venta/,8787,"$335,000,000",3,155m,3,0,0,Medellín,Boston,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10113/Venta/,10113,"$345,000,000",2,62m,2,1,2,Itagüí,Ditaires,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/7358/Venta/,7358,"$350,000,000",3,174m,5,0,3,Medellín,Francisco Antonio Zea,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/9286/Venta/,9286,"$350,000,000",2,78m,3,1,3,Bello,Obrero,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10104/Venta/,10104,"$368,600,000",2,58m,2,1,2,Bello,Santa Ana,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10371/Venta/,10371,"$400,000,000",2,108m,3,0,3,Bello,Prado,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/6953/Venta/,6953,"$400,000,000",2,71m,2,1,2,Bello,Niquia,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10372/Venta/,10372,"$480,000,000",2,108m,3,0,3,Bello,Prado,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10163/Venta/,10163,"$495,000,000",3,139m,4,2,3,Bello,Cabañas,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/9807/Venta/,9807,"$560,000,000",3,104m,4,1,4,Medellín,Laureles,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10339/Venta/,10339,"$568,000,000",3,101m,4,1,4,Medellín,Belen Rosales,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10134/Venta/,10134,"$635,000,000",2,92m,3,1,3,Bello,Amazonia,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10093/Venta/,10093,"$650,000,000",2,115m,3,1,3,Medellín,San Diego,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/9872/Venta/,9872,"$700,000,000",2,100m,3,2,3,Envigado,Cumbres,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/9773/Venta/,9773,"$760,000,000",3,147m,3,2,1,Sabaneta,Las Lomitas,2025-04-09
https://www.lalonjapropiedadraiz.com/inmueble/10165/Venta/,10165,"$778,000,000",5,180m,5,2,5,Medellín,Laureles,2025-04-09
