Closets,adminPrice,area,areac,bathrooms,city,commonNeighborhood,companyName,coordinates,garages,link,neighborhood,propertyId,propertyState,propertyType,rooms,salePrice,stratum,zone,First Extraction Date,Last Extraction Date,builtTime_min_year,builtTime_max_year
390000000,"{'id': '4444', 'nombre': 'Envigado'}",,,"{'id': '3', 'nombre': 'Oficina'}","{'id': '', 'nombre': '1'}","{'lon': -75.59865, 'lat': 6.1689935}",https://www.metrocuadrado.com/inmueble/venta-oficina-envigado-1-banos-1-garajes/687-M6165736,Entre 5 y 10 años,38.0,2026-07-25,,,,,,,,,38.0,38.0,,
425000000,"{'id': '4444', 'nombre': 'Envigado'}",,LAS VEGAS,Las Vegas,"{'id': '', 'nombre': '1'}","{'lon': -75.600624, 'lat': 6.16592}",https://www.metrocuadrado.com/inmueble/venta-oficina-envigado-las-vegas-1-banos-1-garajes/4673-M4599039,Entre 5 y 10 años,31.25,2026-07-25,,,,,,,,,31.25,31.25,,
750000000,"{'id': '4444', 'nombre': 'Envigado'}",102.0,,envigado,"{'id': '', 'nombre': '1'}","{'lon': -75.54998, 'lat': 6.16668}",https://www.metrocuadrado.com/inmueble/venta-oficina-envigado-1-banos-1-garajes/687-M5942471,Entre 5 y 10 años,84.0,2026-07-25,,,,,,,,,84.0,84.0,,
3000000000,"{'id': '4444', 'nombre': 'Envigado'}",,ENVIGADO,ENVIGADO,"{'id': '', 'nombre': '4'}",687-M4706489,https://www.metrocuadrado.com/inmueble/venta-oficina-envigado-envigado-4-banos/687-M4706489,Más de 20 años,436.0,2026-07-25,,,,,,,,,436.0,436.0,,
1100000000,"{'id': '4444', 'nombre': 'Envigado'}",102.0,ALCALA,ENVIGADO,"{'id': '', 'nombre': '2'}","{'lon': -75.59195, 'lat': 6.1709557}",https://www.metrocuadrado.com/inmueble/venta-oficina-envigado-alcala-2-banos-1-garajes/687-M6122902,Más de 20 años,90.0,2026-07-25,,,,,,,,,140.0,140.0,,
950000000,"{'id': '4444', 'nombre': 'Envigado'}",,ALTO DE LAS PALMAS,Alto De Las Palmas,"{'id': '', 'nombre': '1'}","{'lon': -75.542015, 'lat': 6.151307}",https://www.metrocuadrado.com/inmueble/venta-oficina-envigado-alto-de-las-palmas-1-banos-3-garajes/21644-M6340587,Entre 0 y 5 años,89.22,2026-07-25,,,,,,,,,89.22,89.22,,
4300000000,"{'id': '4444', 'nombre': 'Envigado'}",,ENVIGADO,ENVIGADO,"{'id': '', 'nombre': '5'}","{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-oficina-envigado-envigado-5-banos/687-M4499699,Entre 5 y 10 años,520.0,2026-07-25,,,,,,,,,520.0,520.0,,
430000000,"{'id': '4444', 'nombre': 'Envigado'}",,TRANSVERSAL INTERMEDIA,Transversal Intermedia,"{'id': '', 'nombre': '1'}","{'lon': -75.56875, 'lat': 6.1674953}",https://www.metrocuadrado.com/inmueble/venta-oficina-envigado-transversal-intermedia-1-banos-1-garajes/22851-M6650775,Entre 10 y 20 años,36.0,2026-07-25,,,,,,,,,36.0,36.0,,
250000000,"{'id': '9', 'nombre': 'Manizales'}",,LA ESTRELLA,La Estrella,,"{'lon': -75.4869, 'lat': 5.05819}",https://www.metrocuadrado.com/inmueble/venta-oficina-manizales-la-estrella/21639-M6316972,Entre 5 y 10 años,62,2026-07-21,,,,,,,,,62,62,,
710000000,"{'id': '4483', 'nombre': 'Sabaneta'}",,RESTREPO NARANJO,Restrepo Naranjo,"{'id': '', 'nombre': '1'}","{'lon': -75.61055, 'lat': 6.1544795}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-restrepo-naranjo-1-banos-2-garajes/22283-M6853579,Entre 0 y 5 años,93.0,2026-07-20,,,,,,,,,93.0,93.0,,
1450000000,"{'id': '4483', 'nombre': 'Sabaneta'}",,MAYORCA,Mayorca,"{'id': '', 'nombre': '0'}","{'lon': -75.61542, 'lat': 6.156757}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-mayorca/4673-M6564055,Entre 10 y 20 años,98.54,2026-07-20,,,,,,,,,98.54,98.54,,
330000000,"{'id': '4483', 'nombre': 'Sabaneta'}",,MAYORCA,Mayorca,"{'id': '', 'nombre': '1'}","{'lon': -75.60961, 'lat': 6.1569643}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-mayorca-1-banos-1-garajes/17024-M6353596,Entre 0 y 5 años,40.0,2026-07-20,,,,,,,,,40.0,40.0,,
535000000,"{'id': '4483', 'nombre': 'Sabaneta'}",,MAYORCA,Mayorca,"{'id': '', 'nombre': '0'}","{'lon': -75.6051, 'lat': 6.161696}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-mayorca/4673-M5621432,Entre 10 y 20 años,25.65,2026-07-20,,,,,,,,,25.65,25.65,,
320000000,"{'id': '4483', 'nombre': 'Sabaneta'}",,MAYORCA,Mayorca,"{'id': '', 'nombre': '1'}","{'lon': -75.60465, 'lat': 6.16048}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-mayorca-1-banos-1-garajes/5136-M6457522,Entre 10 y 20 años,37.0,2026-07-20,,,,,,,,,37.0,37.0,,
400000000,"{'id': '4483', 'nombre': 'Sabaneta'}",,SABANETA,Sabaneta,"{'id': '', 'nombre': '2'}","{'lon': -75.62664, 'lat': 6.14932}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-sabaneta-2-banos-2-garajes/22723-M6642321,Más de 20 años,76.0,2026-07-20,,,,,,,,,76.0,76.0,,
380000000,"{'id': '4483', 'nombre': 'Sabaneta'}",,LAS VEGAS,Las Vegas,"{'id': '', 'nombre': '1'}","{'lon': -75.5976, 'lat': 6.1670327}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-las-vegas-1-banos-1-garajes/14473-M4888302,Entre 5 y 10 años,36.2,2026-07-20,,,,,,,,,36.2,36.2,,
330000000,"{'id': '4483', 'nombre': 'Sabaneta'}",,MANUEL RESTREPO,Manuel Restrepo,"{'id': '', 'nombre': '1'}","{'lon': -75.60961, 'lat': 6.1569643}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-manuel-restrepo-1-banos-1-garajes/4673-M6110841,Más de 20 años,40.7,2026-07-20,,,,,,,,,40.7,40.7,,
280000000,"{'id': '4483', 'nombre': 'Sabaneta'}",,MAYORCA,Mayorca,"{'id': '', 'nombre': '1'}","{'lon': -75.60416, 'lat': 6.16184}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-mayorca-1-banos-1-garajes/11167-M5515892,Entre 0 y 5 años,36.2,2026-07-20,,,,,,,,,33.7,33.7,,
985000000,"{'id': '4483', 'nombre': 'Sabaneta'}",102.0,SANTA ANA,sabaneta,"{'id': '', 'nombre': '4'}","{'lon': -75.61403, 'lat': 6.1532755}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-santa-ana-4-banos-2-garajes/687-M5940133,Entre 10 y 20 años,200.0,2026-07-20,,,,,,,,,200.0,200.0,,
4000000000,"{'id': '4483', 'nombre': 'Sabaneta'}",102.0,BETANIA,SABANETA,"{'id': '', 'nombre': '5'}","{'lon': -75.61761, 'lat': 6.149654}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-betania-5-banos/687-M5823886,Entre 10 y 20 años,480.0,2026-07-20,,,,,,,,,480.0,480.0,,
4900000000,"{'id': '4483', 'nombre': 'Sabaneta'}",102.0,RESTREPO NARANJO,SABANETA,"{'id': '', 'nombre': '2'}","{'lon': -75.61044, 'lat': 6.1542516}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-restrepo-naranjo-2-banos-4-garajes/687-M6161991,Entre 10 y 20 años,700.0,2026-07-20,,,,,,,,,700.0,700.0,,
710000000,"{'id': '4483', 'nombre': 'Sabaneta'}",102.0,RESTREPO NARANJO,SABANETA,"{'id': '', 'nombre': '1'}","{'lon': -75.61066, 'lat': 6.1544647}",https://www.metrocuadrado.com/inmueble/venta-oficina-sabaneta-restrepo-naranjo-1-banos-2-garajes/687-M6813714,Entre 5 y 10 años,93.0,2026-07-20,,,,,,,,,93.0,93.0,,
250000000,"{'id': '9', 'nombre': 'Manizales'}",,LA ESTRELLA,La Estrella,,"{'lon': -75.4869, 'lat': 5.05819}",https://www.metrocuadrado.com/inmueble/venta-oficina-manizales-la-estrella/21639-M6316972,Entre 5 y 10 años,62,2026-07-22,,,,,,,,,62,62,,
4500000000,"{'id': '4448', 'nombre': 'Girardota'}",,GIRARDOTA,Girardota,"{'id': '', 'nombre': '5'}","{'lon': -73.74993, 'lat': 7.33337}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-girardota-5-banos/14785-M5985693,Entre 10 y 20 años,975.0,2026-07-19,,,,,,,,,975.0,975.0,,
